week_start,split,actual,predicted,us_federal_holiday_week,bfcm_week,residual,residual_pct
2023-01-13,train,150600.33000000002,162540.3525781717,1,0,-11940.022578171687,-7.928284472000617
2023-01-20,train,140534.09,159253.96592268202,0,0,-18719.875922682026,-13.320523100609986
2023-01-27,train,168797.33,156718.63793393338,0,0,12078.692066066607,7.155736448003418
2023-02-03,train,131538.49,163130.92582540703,0,0,-31592.43582540704,-24.017636073978835
2023-02-10,train,121858.94,158950.31950587637,0,0,-37091.379505876364,-30.437963358188053
2023-02-17,train,192888.5,157435.4957385428,1,0,35453.00426145719,18.380050786572134
2023-02-24,train,203432.32,153138.00249313665,0,0,50294.31750686336,24.72287466753727
2023-03-03,train,221981.55,162699.7971984957,0,0,59281.75280150428,26.705711714106094
2023-03-10,train,176618.83000000002,186648.58220298745,0,0,-10029.752202987438,-5.678755885194935
2023-03-17,train,145273.88999999998,185336.35419418832,0,0,-40062.46419418833,-27.57719518227834
2023-03-24,train,163665.0,179334.37394566883,0,0,-15669.373945668834,-9.57405306306714
2023-03-31,train,148112.61000000002,176567.8693844204,0,0,-28455.25938442038,-19.211908685168925
2023-04-07,train,174942.64,173858.82108225714,0,0,1083.8189177428721,0.6195281594829437
2023-04-14,train,131131.69,165448.50781186813,0,0,-34316.817811868124,-26.16973655404588
2023-04-21,train,173121.72,164238.90918068308,0,0,8882.810819316917,5.130962665641791
2023-04-28,train,171946.7,160922.1152643928,0,0,11024.584735607204,6.41162914764122
2023-05-05,train,154036.46,163806.2934814197,0,0,-9769.833481419715,-6.342546096826501
2023-05-12,train,167365.9,169494.17892434698,0,0,-2128.278924346989,-1.271632348254327
2023-05-19,train,192859.8,170985.07458402865,0,0,21874.725415971334,11.342293944083389
2023-05-26,train,235927.76,164873.720236034,1,0,71054.03976396602,30.11686279052792
2023-06-02,train,154363.3,160976.02009315707,0,0,-6612.720093157084,-4.283868052287742
2023-06-09,train,160914.69,166080.96820110732,0,0,-5166.278201107314,-3.2105696509792323
2023-06-16,train,147930.84,164598.82138875214,1,0,-16667.981388752145,-11.267414819487367
2023-06-23,train,138676.18,159241.86827572764,0,0,-20565.688275727647,-14.83000777475097
2023-06-30,train,140480.69,151757.82638546918,1,0,-11277.136385469174,-8.02753487719143
2023-07-07,train,122131.75,148078.11186235087,0,0,-25946.361862350866,-21.244567331877963
2023-07-14,train,118545.2,145519.057105783,0,0,-26973.857105782998,-22.75406942312552
2023-07-21,train,127297.07,159005.7697896393,0,0,-31708.6997896393,-24.909214163090557
2023-07-28,train,164144.8,172763.46508323797,0,0,-8618.665083237982,-5.250647649659315
2023-08-04,train,168112.8,175898.22657045675,0,0,-7785.426570456766,-4.631073047654175
